GAdenoma	GCarcinoma	GQuimio
1770_at	3.76953825876994	3.69571354031762	3.76233488596111
1773_at	7.13816461491401	7.3361132883257	7.12937386221704
1774_at	4.68208288602085	4.95112091195698	4.7247196163454
1776_at	6.75364986380737	5.88934385469429	6.65899750447021
1777_at	8.11690420460114	8.03070393710102	8.14078514511389
1778_g_at	6.40628901372509	6.56572221586783	6.34629782179079
1783_at	5.74597803540703	6.45552940927158	5.70435839019411
1788_s_at	4.89267651480254	5.81840458175002	5.07309600944237
179_at	8.70352842361429	8.80766620518361	8.70473128562816
1791_s_at	3.68504351406003	3.7302596566221	3.67001706405146
1797_at	6.15214428262412	6.46450764887428	6.21619488404068
1799_at	7.26312223115944	7.31314986758684	7.21139601459292
180_at	6.9576928047826	7.02840434109578	7.0020749142231
1800_g_at	4.99022148319314	4.97508315748073	4.9706073052575
1805_g_at	4.90230252498091	5.18210262922665	5.00564325816943
1807_g_at	6.31528523030835	5.5997933477658	6.04485274169491
1808_s_at	6.13058771169019	6.20729728429154	6.12374664605141
1811_at	5.88609969293783	5.95011737100767	5.90333275773963
1812_s_at	5.11786023152784	5.37897869791281	5.10922075867368
